__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/layout/data_offset,AvgBoidDistance
1714651761.073979,1.000000122,0.500000678,0.500001332,1.118034037,0.500000436,0.707106858,0.000000000,0.666667377
1714651761.174158,1.000000056,0.500000452,0.500001019,1.118034039,0.500000454,0.707106862,0.000000000,0.666667176
1714651761.274042,1.000000059,0.500000470,0.500001059,1.118034041,0.500000471,0.707106865,0.000000000,0.666667196
1714651761.373999,1.000000137,0.500000488,0.500001099,1.118034002,0.500000275,0.707106868,0.000000000,0.666667241
1714651761.475209,1.000000142,0.500000506,0.500001552,1.118034003,0.500000508,0.707106983,0.000000000,0.666667400
1714651761.574564,1.000000147,0.500000523,0.500001180,1.118034003,0.500000296,0.707106874,0.000000000,0.666667283
1714651761.674050,1.000000068,0.500000541,0.500001220,1.118034049,0.500000543,0.707106877,0.000000000,0.666667276
1714651761.774737,1.000000069,0.500000555,0.500001251,1.118034051,0.500000557,0.707106880,0.000000000,0.666667292
1714651761.875417,1.000000072,0.500000574,0.500001293,1.118034053,0.500000576,0.707106883,0.000000000,0.666667313
1714651761.974006,1.000000166,0.500000592,0.500001816,1.118034005,0.500000594,0.707107018,0.000000000,0.666667525
1714651762.073984,1.000000076,0.500000343,0.500000611,1.118034006,0.500000153,0.707106808,0.000000000,0.666667010
1714651762.174875,1.000000078,0.500000628,0.500001416,1.118034059,0.500000630,0.707106893,0.000000000,0.666667374
1714651762.275269,1.000000081,0.500000648,0.500001459,1.118034061,0.500000649,0.707106896,0.000000000,0.666667396
1714651762.374007,1.000000187,0.500000666,0.500002043,1.118034007,0.500000668,0.707107047,0.000000000,0.666667632
1714651762.474908,1.000000086,0.500000685,0.500001543,1.118034065,0.500000687,0.707106903,0.000000000,0.666667438
1714651762.574031,1.000000198,0.500000704,0.500002160,1.118034008,0.500000706,0.707107062,0.000000000,0.666667687
1714651762.674003,1.000000203,0.500000723,0.500002218,1.118034009,0.500000725,0.707107070,0.000000000,0.666667715
1714651762.774009,1.000000209,0.500000742,0.500002275,1.118034010,0.500000744,0.707107077,0.000000000,0.666667742
1714651762.874848,1.000000214,0.500000760,0.500001712,1.118034010,0.500000429,0.707106916,0.000000000,0.666667562
1714651762.974889,1.000000219,0.500000779,0.500001753,1.118034011,0.500000439,0.707106919,0.000000000,0.666667584
1714651763.073967,1.000000099,0.500000797,0.500001794,1.118034078,0.500000798,0.707106922,0.000000000,0.666667563
