__time,/avgPoint/action,/avgPoint/color/a,/avgPoint/color/b,/avgPoint/color/g,/avgPoint/color/r,/avgPoint/frame_locked,/avgPoint/header/stamp/nanosec,/avgPoint/header/stamp/sec,/avgPoint/id,/avgPoint/lifetime/nanosec,/avgPoint/lifetime/sec,/avgPoint/mesh_use_embedded_materials,/avgPoint/pose/orientation/w,/avgPoint/pose/orientation/x,/avgPoint/pose/orientation/y,/avgPoint/pose/orientation/z,/avgPoint/pose/position/x,/avgPoint/pose/position/y,/avgPoint/pose/position/z,/avgPoint/scale/x,/avgPoint/scale/y,/avgPoint/scale/z,/avgPoint/texture/header/stamp/nanosec,/avgPoint/texture/header/stamp/sec,/avgPoint/type,/cf1/cmd_full_state/acc/x,/cf1/cmd_full_state/acc/y,/cf1/cmd_full_state/acc/z,/cf1/cmd_full_state/header/stamp/nanosec,/cf1/cmd_full_state/header/stamp/sec,/cf1/cmd_full_state/pose/orientation/w,/cf1/cmd_full_state/pose/orientation/x,/cf1/cmd_full_state/pose/orientation/y,/cf1/cmd_full_state/pose/orientation/z,/cf1/cmd_full_state/pose/position/x,/cf1/cmd_full_state/pose/position/y,/cf1/cmd_full_state/pose/position/z,/cf1/cmd_full_state/twist/angular/x,/cf1/cmd_full_state/twist/angular/y,/cf1/cmd_full_state/twist/angular/z,/cf1/cmd_full_state/twist/linear/x,/cf1/cmd_full_state/twist/linear/y,/cf1/cmd_full_state/twist/linear/z,/cf1/connection_statistics/header/stamp/nanosec,/cf1/connection_statistics/header/stamp/sec,/cf1/connection_statistics/stats[0]/ack_count,/cf1/connection_statistics/stats[0]/enqueued_count,/cf1/connection_statistics/stats[0]/receive_count,/cf1/connection_statistics/stats[0]/sent_count,/cf1/connection_statistics/stats[0]/sent_ping_count,/cf1/etc/header/stamp/nanosec,/cf1/etc/header/stamp/sec,/cf1/etc/timestamp,/cf1/etc/values[0],/cf1/etc/values[1],/cf1/etc/values[2],/cf1/lighthouseInfo/header/stamp/nanosec,/cf1/lighthouseInfo/header/stamp/sec,/cf1/lighthouseInfo/timestamp,/cf1/lighthouseInfo/values[0],/cf1/lighthouseInfo/values[1],/cf1/lighthouseInfo/values[2],/cf1/motorspeed/header/stamp/nanosec,/cf1/motorspeed/header/stamp/sec,/cf1/motorspeed/timestamp,/cf1/motorspeed/values[0],/cf1/motorspeed/values[1],/cf1/motorspeed/values[2],/cf1/motorspeed/values[3],/cf1/motorvars/header/stamp/nanosec,/cf1/motorvars/header/stamp/sec,/cf1/motorvars/timestamp,/cf1/motorvars/values[0],/cf1/motorvars/values[1],/cf1/motorvars/values[2],/cf1/motorvars/values[3],/cf1/pose/header/stamp/nanosec,/cf1/pose/header/stamp/sec,/cf1/pose/pose/orientation/w,/cf1/pose/pose/orientation/x,/cf1/pose/pose/orientation/y,/cf1/pose/pose/orientation/z,/cf1/pose/pose/position/x,/cf1/pose/pose/position/y,/cf1/pose/pose/position/z,/cf1/status/battery_voltage,/cf1/status/header/stamp/nanosec,/cf1/status/header/stamp/sec,/cf1/status/latency_unicast,/cf1/status/num_rx_broadcast,/cf1/status/num_rx_unicast,/cf1/status/num_tx_broadcast,/cf1/status/num_tx_unicast,/cf1/status/pm_state,/cf1/status/rssi,/cf1/status/supervisor_info,/cf5/cmd_full_state/acc/x,/cf5/cmd_full_state/acc/y,/cf5/cmd_full_state/acc/z,/cf5/cmd_full_state/header/stamp/nanosec,/cf5/cmd_full_state/header/stamp/sec,/cf5/cmd_full_state/pose/orientation/w,/cf5/cmd_full_state/pose/orientation/x,/cf5/cmd_full_state/pose/orientation/y,/cf5/cmd_full_state/pose/orientation/z,/cf5/cmd_full_state/pose/position/x,/cf5/cmd_full_state/pose/position/y,/cf5/cmd_full_state/pose/position/z,/cf5/cmd_full_state/twist/angular/x,/cf5/cmd_full_state/twist/angular/y,/cf5/cmd_full_state/twist/angular/z,/cf5/cmd_full_state/twist/linear/x,/cf5/cmd_full_state/twist/linear/y,/cf5/cmd_full_state/twist/linear/z,/cf5/connection_statistics/header/stamp/nanosec,/cf5/connection_statistics/header/stamp/sec,/cf5/connection_statistics/stats[0]/ack_count,/cf5/connection_statistics/stats[0]/enqueued_count,/cf5/connection_statistics/stats[0]/receive_count,/cf5/connection_statistics/stats[0]/sent_count,/cf5/connection_statistics/stats[0]/sent_ping_count,/cf5/etc/header/stamp/nanosec,/cf5/etc/header/stamp/sec,/cf5/etc/timestamp,/cf5/etc/values[0],/cf5/etc/values[1],/cf5/etc/values[2],/cf5/lighthouseInfo/header/stamp/nanosec,/cf5/lighthouseInfo/header/stamp/sec,/cf5/lighthouseInfo/timestamp,/cf5/lighthouseInfo/values[0],/cf5/lighthouseInfo/values[1],/cf5/lighthouseInfo/values[2],/cf5/motorspeed/header/stamp/nanosec,/cf5/motorspeed/header/stamp/sec,/cf5/motorspeed/timestamp,/cf5/motorspeed/values[0],/cf5/motorspeed/values[1],/cf5/motorspeed/values[2],/cf5/motorspeed/values[3],/cf5/motorvars/header/stamp/nanosec,/cf5/motorvars/header/stamp/sec,/cf5/motorvars/timestamp,/cf5/motorvars/values[0],/cf5/motorvars/values[1],/cf5/motorvars/values[2],/cf5/motorvars/values[3],/cf5/pose/header/stamp/nanosec,/cf5/pose/header/stamp/sec,/cf5/pose/pose/orientation/w,/cf5/pose/pose/orientation/x,/cf5/pose/pose/orientation/y,/cf5/pose/pose/orientation/z,/cf5/pose/pose/position/x,/cf5/pose/pose/position/y,/cf5/pose/pose/position/z,/cf5/status/battery_voltage,/cf5/status/header/stamp/nanosec,/cf5/status/header/stamp/sec,/cf5/status/latency_unicast,/cf5/status/num_rx_broadcast,/cf5/status/num_rx_unicast,/cf5/status/num_tx_broadcast,/cf5/status/num_tx_unicast,/cf5/status/pm_state,/cf5/status/rssi,/cf5/status/supervisor_info
1714408677.828252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103599.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.836261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103607.000000000,15.000000000,2.000000000,15.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.844269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103616.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.852318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103622.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.858272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.791115105,-0.001383771,-0.006918853,-0.611626625,-0.059904750,0.124181457,0.034235153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.893316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,87288.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,
1714408677.904173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.761951387,-0.005535082,0.002767541,-0.647604644,0.499725968,0.140314385,0.004128563,,,,,,,,,,,
1714408677.927306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103699.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.937207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103708.000000000,15.000000000,2.000000000,15.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.946293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103716.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.950201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,103721.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.955134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,87351.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714408677.957282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.793243408,0.002767541,-0.006918853,-0.608859062,-0.084740102,0.123127289,0.044793129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
